Product,Rating,MRP,Offer_Price,Discount,Reviews,Brand,Discounted_Price
"Wings Phantom 250 Earbuds with Game Mode, 40ms Low Late...",4,2999.0,1199.0,60% off,"(31,626)",Wings,1800.0
"Cosmic Byte CosmoBuds X200, BT 5.3, 40 Hrs, 38ms, GOD M...",4,8999.0,1499.0,83% off,(106),Cosmic,7500.0
"truke Buds Q1 with 30H Playtime, Quad Mic ENC, Game Mod...",4,3499.0,1299.0,62% off,"(65,685)",truke,2200.0
"PTron Basspods P481, 60Hrs Playtime, Deep Bass, ENC Ste...",4,3199.0,999.0,68% off,"(4,761)",PTron,2200.0
"Wings Phantom 860 Earbuds with Game mode, 50 hrsPlaytim...",4,2999.0,1499.0,50% off,"(3,615)",Wings,1500.0
Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime...,3.9,4999.0,1298.0,74% off,"(1,37,753)",Boult,3701.0
"Wings Phantom 550 Earbuds with Low latency Game mode, 4...",4,2999.0,1299.0,56% off,"(8,810)",Wings,1700.0
Wings Phantom 700 Earbuds with 40ms Low Latency Game mo...,4.1,2999.0,899.0,70% off,(561),Wings,2100.0
"boAt Airdopes 161 with ASAP Charge, 10mm Drivers and 17...",4.1,2490.0,1599.0,35% off,"(2,46,850)",boAt,891.0
"Boult Audio Maverick with Quad Mic ENC, 45ms Low Latenc...",4,4499.0,1599.0,64% off,"(4,751)",Boult,2900.0
Wings Phantom earbuds with 50ms Low Latency Game mode B...,4,4999.0,1199.0,76% off,"(45,675)",Wings,3800.0
"truke Buds F1 with 38H Playtime, ENC, Instant Pairing, ...",3.9,2499.0,899.0,64% off,"(25,220)",truke,1600.0
"Noise Buds VS102 with 14 Hours Playtime, 11mm Driver, I...",4.1,2999.0,1298.0,56% off,"(2,30,494)",Noise,1701.0
"Mivi DuoPods F70 ENC with Quad Mic, 50+ Hrs Playtime| M...",4.1,2999.0,1494.0,50% off,"(38,219)",Mivi,1505.0
"Wings Phantom 850 Earbuds with Game mode, 50 hrsPlaytim...",4.1,2999.0,1499.0,50% off,"(6,008)",Wings,1500.0
"HOPPUP AirDoze D50 Earbuds with upto 50H Playtime, ENC,...",4,2999.0,899.0,70% off,"(1,646)",HOPPUP,2100.0
"Fire-Boltt Fire Pods Ninja Pro 401 Earbuds TWS, IWP, Su...",3.9,4999.0,1099.0,78% off,"(3,104)",Fire-Boltt,3900.0
Mivi DuoPods M30 earbuds with 42 hours of playtime | Ma...,3.7,2999.0,1199.0,60% off,"(66,145)",Mivi,1800.0
OnePlus Nord Buds CE Truly Wireless Bluetooth Headset,4.1,2699.0,2299.0,14% off,"(32,462)",OnePlus,400.0
Ashish General Stores M28 Earbuds/TWs/buds with 2000 MA...,3.3,2489.0,730.0,70% off,(490),Ashish,1759.0
Met style Twins Wireless Earbuds Mini Bluetooth V4.2 St...,3.5,1299.0,375.0,71% off,(37),Met,924.0
boAt Airdopes 411ANC with upto 17.5 Hours Playback and ...,3.9,4990.0,2499.0,49% off,"(16,590)",boAt,2491.0
Nine9 N9-Capsules Earbud 5.0 Wireless Earphones Bluetoo...,3.4,1999.0,487.0,75% off,(619),Nine9,1512.0
PRANSHU SHOPPE TWS L21 Pro Bluetooth 5.0 High Speed Con...,4,1299.0,499.0,61% off,(4),PRANSHU,800.0
"DigiClues Premium Series M88 with ENC HD+ Calling, Deep...",4.9,7999.0,499.0,93% off,(34),DigiClues,7500.0
Highnotes F9-5 Earbuds/TWs/buds 5.0 Earbuds with 280H P...,4.2,7999.0,699.0,91% off,(28),Highnotes,7300.0
Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime...,3.9,4999.0,1099.0,78% off,"(1,37,753)",Boult,3900.0
GAGANDEEP TWS i12 Bluetooth Wireless Earphone Touch Sen...,3.4,2999.0,529.0,82% off,(181),GAGANDEEP,2470.0
Aroma NB140 Captain 24 Hours* Playtime | Deep Bass | Ma...,3.7,1999.0,599.0,70% off,"(1,512)",Aroma,1400.0
U&i Pod+ 20 Hours Music Time True Wireless Earbuds with...,3.8,3999.0,664.0,83% off,"(5,237)",U&i,3335.0
flying india Premium TWS M90 with PowerBank Gaming Earb...,3.5,1999.0,587.0,70% off,(74),flying,1412.0
